picId,clientId,name,unidade,lat,lon,rodada_init_time,data_hora_observacao,temp_media_c,temp_min_c,temp_max_c,precipitacao_6h_media_mm,precipitacao_6h_max_mm,vento_medio_ms,vento_rajada_max_ms,pressao_mar_pa
26229,2314,URC_219222,URC,-18.87219,-50.83422,2026-07-01 00:00:00,2026-07-01 06:00:00,18.75,17.32,19.64,0.001,0.03,2.86,3.71,101600.3
25577,2314,USL_315408,USL,-21.719328,-54.090927,2026-07-01 00:00:00,2026-07-01 06:00:00,18.89,17.9,19.86,0.001,0.007,1.84,2.59,101344.6
25708,2314,USL_320002,USL,-21.6273,-54.20304,2026-07-01 00:00:00,2026-07-01 06:00:00,18.93,17.65,20.28,0.001,0.009,1.56,2.54,101347.7
23125,2314,USL_320013,USL,-21.44542,-54.11897,2026-07-01 00:00:00,2026-07-01 06:00:00,19.22,17.59,19.96,0.0,0.004,2.26,2.97,101358.4
26109,2314,USL_320066,USL,-21.587583,-54.25226,2026-07-01 00:00:00,2026-07-01 06:00:00,19.07,17.99,20.64,0.001,0.004,2.16,3.14,101349.1
26032,2314,USL_320084,USL,-21.68166,-54.15133,2026-07-01 00:00:00,2026-07-01 06:00:00,18.93,17.65,20.28,0.001,0.009,1.56,2.54,101347.7
15022,2314,USL_320121,USL,-21.515079,-54.267676,2026-07-01 00:00:00,2026-07-01 06:00:00,19.07,17.99,20.64,0.001,0.004,2.16,3.14,101349.1
23660,2314,USL_320145,USL,-21.494,-54.11643,2026-07-01 00:00:00,2026-07-01 06:00:00,19.22,17.59,19.96,0.0,0.004,2.26,2.97,101358.4
25294,2314,USL_320168,USL,-21.47298,-54.19065,2026-07-01 00:00:00,2026-07-01 06:00:00,19.07,17.99,20.64,0.001,0.004,2.16,3.14,101349.1
26033,2314,USL_320170,USL,-21.43475,-54.24102,2026-07-01 00:00:00,2026-07-01 06:00:00,19.07,17.99,20.64,0.001,0.004,2.16,3.14,101349.1
25869,2314,USL_320184,USL,-21.670113,-54.250594,2026-07-01 00:00:00,2026-07-01 06:00:00,18.93,17.65,20.28,0.001,0.009,1.56,2.54,101347.7
26024,2314,USL_320186,USL,-21.4114,-54.06578,2026-07-01 00:00:00,2026-07-01 06:00:00,19.22,17.59,19.96,0.0,0.004,2.26,2.97,101358.4
21679,2314,USL_320207,USL,-21.55336,-54.1816,2026-07-01 00:00:00,2026-07-01 06:00:00,19.07,17.99,20.64,0.001,0.004,2.16,3.14,101349.1
25619,2314,USL_320216,USL,-21.61851,-54.1514,2026-07-01 00:00:00,2026-07-01 06:00:00,19.07,17.99,20.64,0.001,0.004,2.16,3.14,101349.1
26059,2314,USL_320316,USL,-21.452001,-54.459914,2026-07-01 00:00:00,2026-07-01 06:00:00,19.37,17.93,20.91,0.001,0.005,1.78,2.73,101321.9
12696,2314,USL_320376,USL,-21.51258,-54.19062,2026-07-01 00:00:00,2026-07-01 06:00:00,19.07,17.99,20.64,0.001,0.004,2.16,3.14,101349.1
25901,2314,USL_320387,USL,-21.5575,-54.12006,2026-07-01 00:00:00,2026-07-01 06:00:00,19.22,17.59,19.96,0.0,0.004,2.26,2.97,101358.4
25471,2314,USL_320446,USL,-21.385063,-54.462821,2026-07-01 00:00:00,2026-07-01 06:00:00,19.37,17.93,20.91,0.001,0.005,1.78,2.73,101321.9
13292,2314,USL_328085,USL,-21.5895,-53.94953,2026-07-01 00:00:00,2026-07-01 06:00:00,19.22,17.59,19.96,0.0,0.004,2.26,2.97,101358.4
26063,2314,USL_328091,USL,-21.525018,-54.377292,2026-07-01 00:00:00,2026-07-01 06:00:00,19.37,17.93,20.91,0.001,0.005,1.78,2.73,101321.9
25686,2314,USL_328303,USL,-21.455197,-54.535363,2026-07-01 00:00:00,2026-07-01 06:00:00,19.37,17.93,20.91,0.001,0.005,1.78,2.73,101321.9
26034,2314,USL_328310,USL,-21.649536,-54.343751,2026-07-01 00:00:00,2026-07-01 06:00:00,18.93,17.65,20.28,0.001,0.009,1.56,2.54,101347.7
